Word,Valence,Arousal
ABDOMEN,4.77,5.05
ACID,3.14,6.53
ACORN,5.47,4.04
ACROBAT,6.01,5.99
ACTOR,5.76,5.6
ACTRESS,6.09,5.45
ADOLESCENT,5.17,5.43
ADULT,5.77,5.4
AFRICA,5.47,5.54
AGENT,4.9,5.54
AIRCRAFT,5.7,6.2
AIRPLANE,5.68,6.15
AIRPORT,5.37,6.26
ALBUM,6.06,4.4
ALLEY,4.6,5.55
ALLIGATOR,4.27,6.68
ALMANAC,5.67,4.39
ALMOND,6.15,4.43
AMBULANCE,3.91,7.1
ANCESTOR,6.07,4.73
ANCHOR,5.12,4.36
ANGEL,7.13,4.05
ANIMAL,6.35,5.14
ANKLE,5.23,4.53
ANT,4.04,5.18
ANTEATER,4.99,5.16
ANTELOPE,5.81,4.56
ANTENNA,5.19,4.78
ANTLER,5.22,5.05
APARTMENT,5.35,4.67
APE,5.51,5.87
APPENDAGE,4.83,5.14
APPLE,6.86,4.54
APPLICATION,5.05,5.24
APRON,5.29,4.07
ARCHITECT,5.79,5.1
ARENA,5.51,5.89
ARM,5.44,4.61
ARMY,4.76,6.64
ARROW,5.17,5.83
ARTERY,4.82,5.61
ARTICLE,5.4,4.81
ARTIST,6.53,4.91
ASH,3.93,4.77
ASHTRAY,3.08,5.23
ASIA,5.96,5.44
ASPIRIN,5.5,4.77
ASSISTANT,5.56,4.88
ASSOCIATE,5.26,4.79
ASTEROID,4.89,6.51
ASTRONAUT,6.58,5.96
ATHLETE,6.06,5.89
ATLAS,5.89,4.82
ATMOSPHERE,5.97,4.4
ATOM,5.59,5.22
ATTIC,5.05,4.77
ATTIRE,5.57,4.75
ATTORNEY,4.22,6.24
AUDIENCE,5.53,5.78
ESSAY,4.47,5.22
EUROPE,6.43,5.48
EWE,5.37,3.96
EXPERT,6.06,5.27
EXPLOSION,3.06,7.85
EYE,5.75,4.96
EYELASH,5.65,4.61
AUNT,6.39,4.35
AUTHOR,5.98,4.51
AUTOMOBILE,5.9,5.67
AWARD,6.92,6.1
BABY,6.69,4.84
BACK,4.96,4.77
BACKBONE,5.47,5.13
BACON,6.77,5.67
BADGE,5.16,5.53
BAG,5.39,4.47
BAIT,4.46,5.34
BAKER,6.25,4.11
BALCONY,6.1,4.37
BALL,5.86,5.02
BALLERINA,6.35,4.82
BALLOON,6.43,4.28
BALLOT,5.21,5.22
BANANA,6.68,4.45
BAND,6.2,5.52
BANDAGE,4.25,5.47
BANDANNA,5.26,4.5
BANDIT,3.14,6.81
BANJO,5.91,5.09
BANK,5.22,5.48
BANKER,4.54,5.44
BANNER,5.47,4.73
BANQUET,6.3,5.33
BARK,4.63,5.65
BARLEY,5.34,4.12
BARN,5.68,3.98
BARRACUDA,4.05,6.59
BARREL,5.12,4.51
BARTENDER,5.71,5.35
BASEBALL,5.88,5.26
BASEMENT,4.98,4.67
BASKET,5.6,4.22
BASKETBALL,5.85,5.56
BASSINET,5.61,4.11
BATH,6.44,3.11
BATHROOM,5.04,4.52
BATHTUB,6.05,3.22
BATTERY,5.18,5.31
BAY,6.12,3.54
BEAD,5.51,4.52
BEAKER,5.26,4.86
BEAN,5.63,4.39
BEAR,5.28,6.78
BEARD,5.11,4.97
BEAST,3.79,6.69
BEAVER,5.56,4.91
BED,6.91,3.05
BEDROOM,6.45,3.93
BEE,4.32,6.32
BEEF,5.93,5.32
BEER,5.71,5.28
BEET,4.55,4.42
BEETLE,4.15,5.51
BEGGAR,3.32,5.82
BELL,5.8,5.09
BELLY,4.83,4.9
BELT,5.04,4.81
BENCH,5.46,4.06
BERRY,6.82,4.4
BEVERAGE,6.52,4.54
BIBLE,4.8,4.23
BIKE,6.24,5.21
BILL,3.9,5.75
BINDER,5.01,4.51
BIOLOGIST,5.93,5.12
BIRD,6.44,4.31
BISCUIT,6.28,4.17
BISON,5.55,5.03
BLACKBERRY,6.47,4.53
